,Dp,DpDr,DpDt,DsqP,Dx,Dy,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,long,p_cent,p_edge,pid,precip,precipArea,ptid,radius,time,type,u,uv,v,x,y
0,,,,,,,0,0,0,0,0,0,0,,7,74.95702054291928,5.194425961951822,,,7,0.0,0.0,493.0,0.0,41327.75,0,,,,91,73
1,,0.0,,251.46138520021486,-6,-4,3,0,0,0,3,1,1,0.0,7,70.9103399623593,-12.380757591490351,100780.77113513765,100780.77113513765,7,0.0,0.0,499.0,0.5641895835477563,41328.0,1,106.15027050414984,120.71582986534922,74.99505838488771,85,69
2,-1003.9152429448877,,,,4,6,0,3,3,0,0,0,0,,4,76.8357419441065,-1.9749498415949347,,,4,0.0,0.0,493.0,0.0,41328.25,0,43.86209200724165,121.76467931164754,109.81243978331698,89,75
